,Total Contributions,Max Give,Months Since Last Donation,Most Recent Give Amount,Number of Gives,Average Give Amount,strong envir support,very pro-gun control,dems in red seats,house races,gives in primaries,supports AZ campaigns,strong pp support,moderate dems,Networth,female,gender unsure,male,isWhite,isJewish,isAfam,isLatinx,isIrish,isAsian,Ethnicity unsure
39,25.0,250,91,250,1,250.0,0,0,0,0,0,0,0,0,14.565714591651497,0,1,0,1,0,0,0,0,0,0
40,50.0,2000,91,500,26,470.5769230769231,0,0,1,0,0,0,1,0,16.318758882756253,0,0,1,0,0,1,0,0,0,0
41,50.0,1000,91,30,20,349.95,0,0,1,0,0,0,0,0,13.840577734543137,0,0,1,0,0,1,0,0,0,0
42,50.0,250,18,250,10,205.0,0,0,1,0,0,0,0,0,14.560669374842416,0,0,1,1,0,0,0,0,0,0
43,100.0,1000,18,100,29,533.2758620689655,1,0,1,0,0,0,0,1,15.62550721413962,1,0,0,1,0,0,0,0,0,0
44,100.0,1000,18,100,10,740.0,0,1,1,0,0,1,1,0,14.981102760144832,1,0,0,1,0,0,0,0,0,0
45,100.0,1000,18,250,15,740.0,0,0,1,0,0,1,0,0,15.223321273189798,0,0,1,1,0,0,0,0,0,0
46,100.0,1750,18,100,28,392.14285714285717,1,1,1,0,0,0,1,0,15.001859876938616,1,0,0,1,0,0,0,0,0,0
47,100.0,3000,18,975,24,911.4583333333334,0,0,1,0,0,0,0,1,15.154649368206192,1,0,0,1,0,0,0,0,0,0
48,100.0,3750,7,3750,10,1430.7,0,0,0,0,1,0,0,0,14.834628238724724,0,0,1,1,0,0,0,0,0,0
49,100.0,500,7,250,13,284.61538461538464,0,0,1,0,1,1,0,0,14.681825022526692,0,0,1,1,0,0,0,0,0,0
50,100.0,3000,7,3000,10,870.0,0,0,1,0,0,0,1,1,13.859678628124309,1,0,0,1,0,0,0,0,0,0
51,150.0,1000,7,125,6,391.6666666666667,0,0,0,0,0,1,0,0,14.636164456688709,1,0,0,1,0,0,0,0,0,0
52,150.0,500,91,250,5,350.0,0,0,0,0,0,0,0,0,13.862971267371647,0,0,1,1,0,0,0,0,0,0
